Locality,Country,lat,long,alt,AcLi,Acli,acLi,acli,no_AcLi,no_Acli,no_acLi,no_acli,no_plants,AcAc,Acac,acac,LiLi,Lili,lili,freqAc,freqLi,freqHCN,Continent,ID,Collector
Zentsuji,Japan,34.224005,133.784564,34,0.137724551,0.173652695,0.251497006,0.437125749,23,29,42,73,167,,,,,,,0.170167032,0.218476844,0.137724551,Asia,219,daday
Konosu,Japan,36.077334,139.506684,15,0.5,0.173333333,0.166666667,0.16,75,26,25,24,150,,,,,,,0.428452393,0.422649731,0.5,Asia,220,daday
Shindo-Mura,Japan,35.494841,139.378636,35,0.314102564,0.480769231,0.070512821,0.134615385,49,75,11,21,156,,,,,,,0.547089186,0.215535459,0.314102564,Asia,221,daday
Shimo-Kuriyagawa,Japan,39.761081,141.134079,183,0.191489362,0.269503546,0.290780142,0.24822695,27,38,41,35,141,,,,,,,0.265828976,0.280465083,0.191489362,Asia,222,daday
Tsukissapau,Japan,42.164008,142.807193,2,0.152777778,0.125,0.256944444,0.465277778,22,18,37,67,144,,,,,,,0.150163414,0.231704629,0.152777778,Asia,223,daday
Rabat,Morocco,33.964621,-6.840603,84,1,0,0,0,124,0,0,0,124,,,,,,,1,1,1,Africa,224,daday
Tirsal,Morocco,31.598937,-6.737772,2031,1,0,0,0,42,0,0,0,42,,,,,,,1,1,1,Africa,225,daday
Oukaiemden,Morocco,31.204052,-7.860561,2616,0.779069767,0.058139535,0.127906977,0.034883721,67,5,11,3,86,,,,,,,0.596526708,0.695002859,0.779069767,Africa,226,daday
"George, Cape",South Africa,-33.992132,22.453507,198,0.840425532,0.138297872,0.021276596,0,79,13,2,0,94,,,,,,,0.854135009,0.628115781,0.840425532,Africa,227,daday
"Humensdrop, Cape",South Africa,-34.015241,24.747726,211,0.710144928,0.130434783,0.115942029,0.043478261,49,9,8,3,69,,,,,,,0.600725295,0.582971172,0.710144928,Africa,228,daday
"Escourt, Natal",South Africa,-29.007611,29.873262,1163,0.716666667,0.05,0.166666667,0.066666667,43,3,10,4,60,,,,,,,0.516954108,0.658434974,0.716666667,Africa,229,daday
"Bloemfontein, Orange Free State",South Africa,-29.113861,26.216538,1391,0.722891566,0.120481928,0.096385542,0.060240964,60,10,8,5,83,,,,,,,0.604239332,0.574884849,0.722891566,Africa,230,daday
"Pretoria, Transvaal",South Africa,-25.748985,28.229103,1368,0.674796748,0.317073171,0,0.008130081,83,39,0,1,123,,,,,,,0.909833037,0.429734051,0.674796748,Africa,231,daday
"Potchefstroom, Transvaal",South Africa,-26.716681,27.097891,1340,0.784810127,0.050632911,0.126582278,0.037974684,62,4,10,3,79,,,,,,,0.594343788,0.702329721,0.784810127,Africa,232,daday
"Baton Rouge, LA",USA,30.449871,-91.186866,16,0.912280702,0.00877193,0.070175439,0.00877193,104,1,8,1,114,,,,,,,0.719024257,0.867546764,0.912280702,North America,233,daday
"New Orleans, LA",USA,29.955776,-90.066484,3,0.941176471,0,0.058823529,0,112,0,7,0,119,,,,,,,0.757464375,1,0.941176471,North America,234,daday
"San Francisco, CA",USA,37.773189,-122.419245,12,0.763157895,0.087719298,0.105263158,0.043859649,87,10,12,5,114,,,,,,,0.613835777,0.637261875,0.763157895,North America,235,daday
"San Francisco, CA",USA,37.773189,-122.419245,12,0.888888889,0.086419753,0.024691358,0,72,7,2,0,81,,,,,,,0.84286516,0.706027632,0.888888889,North America,236,daday
"Guerneville, CA",USA,38.50205,-122.997453,18,0.568807339,0.009174312,0.366972477,0.055045872,62,1,40,6,109,,,,,,,0.350370607,0.746582985,0.568807339,North America,237,daday
"Rio Monte, CA",USA,38.468291,-123.011307,13,1,0,0,0,119,0,0,0,119,,,,,,,1,1,1,North America,238,daday
"Woodburn, OR",USA,45.143417,-122.855326,57,0.254545455,0.090909091,0.327272727,0.327272727,14,5,18,18,55,,,,,,,0.190960165,0.353330209,0.254545455,North America,239,daday
"Albany, OR",USA,44.632278,-123.103383,66,0.05,0.3,0.083333333,0.566666667,3,18,5,34,60,,,,,,,0.193774225,0.069050664,0.05,North America,240,daday
"Shedd, OR",USA,44.460836,-123.110534,81,0.428571429,0.095238095,0.261904762,0.214285714,18,4,11,9,42,,,,,,,0.309934441,0.44365136,0.428571429,North America,241,daday
"Hubbard, OR",USA,45.182223,-122.80704,57,0.5,0.121212121,0.287878788,0.090909091,33,8,19,6,66,,,,,,,0.384542545,0.539433814,0.5,North America,242,daday
"NE Oregon, OR",USA,45.542196,-117.814071,1035,0.327586207,0.232758621,0.163793103,0.275862069,38,27,19,32,116,,,,,,,0.336935016,0.286823521,0.327586207,North America,243,daday
"NE Oregon, OR",USA,45.542196,-117.814071,1035,0.45,0.025,0.4,0.125,18,1,16,5,40,,,,,,,0.275431163,0.612701665,0.45,North America,244,daday
"Union, OR",USA,45.207428,-117.864639,852,0.5,0.012820513,0.384615385,0.102564103,39,1,30,8,78,,,,,,,0.30201756,0.66031689,0.5,North America,245,daday
"Lat. 41 14 30 Long. 81 18 0, OH",USA,41.24165,-81.300003,328,0.377192982,0.359649123,0.078947368,0.184210526,43,41,9,21,114,,,,,,,0.487010824,0.262531594,0.377192982,North America,246,daday
"Lat. 41 14 30 Long. 81 28 0, OH",USA,41.241665,-81.46667,309,0.169811321,0.339622642,0.094339623,0.396226415,18,36,10,42,106,,,,,,,0.299595804,0.142183553,0.169811321,North America,247,daday
"Lat. 40 55 Long. 96 10, NE",USA,40.916651,-96.166662,390,0.3125,0.553571429,0.044642857,0.089285714,35,62,5,10,112,,,,,,,0.634037473,0.198216274,0.3125,North America,248,daday
"Chicago, IL",USA,41.872042,-87.62755,180,0.591666667,0.2,0.091666667,0.116666667,71,24,11,14,120,,,,,,,0.543564535,0.437268566,0.591666667,North America,249,daday
"St Paul, MN",USA,44.951324,-93.090837,234,0.061728395,0.197530864,0.12345679,0.617283951,5,16,10,50,81,,,,,,,0.139337034,0.097329066,0.061728395,North America,250,daday
"St Paul, MN",USA,44.951324,-93.090837,234,0.15,0.19,0.19,0.47,15,19,19,47,100,,,,,,,0.18759616,0.18759616,0.15,North America,251,daday
