ID,Locality,lat,long,freqHCN,freqAc,freqLi,Mean winter temp.,N,Time sampled,Country,Continent,Hemisphere,Data provenance,Year of collection
56,Granada,37.16702,-3.59729,0.9545454545454546,0.7867992836443896,1,7.480000019073486,44,Contemporary,Spain,Europe,North,Present study,2018
58,Granada,37.16437,-3.60014,0.8372093023255814,0.7843344535931231,0.6590028302647633,7.480000019073486,43,Contemporary,Spain,Europe,North,Present study,2018
59,Salamanca,40.979543,-5.666728,0.5,0.6220355269907728,0.3637909897196482,5.080000209808349,42,Contemporary,Spain,Europe,North,Present study,2018
61,La Coruna,43.34161,-8.40688,0.8888888888888888,1,0.6666666666666667,9.360000038146973,45,Contemporary,Spain,Europe,North,Present study,2018
62,San Sebastian,43.307686,-1.954925,0.95,1,0.7763932022500211,6.820000076293946,40,Contemporary,Spain,Europe,North,Present study,2018
155,Girona,41.98946,2.82265,0.7142857142857143,0.6726731646460115,0.5,8.880000019073487,28,Contemporary,Spain,Europe,North,Present study,2018
156,Barcelona,41.388647,2.188758,0.7291666666666666,0.5669872981077807,0.6772513878160487,9.760000228881836,48,Contemporary,Spain,Europe,North,Present study,2018
157,Stockholm,59.353586,18.071701,0.08333333333333333,0.18350341907227397,0.0425728922436619,-2.0799999952316286,48,Contemporary,Sweden,Europe,North,Present study,2018
158,Umea,63.831548,20.279219,0,0,0,-6.920000171661377,48,Contemporary,Sweden,Europe,North,Present study,2018
160,Stromback,63.690488,20.228425,0,0.012270403350410408,0.024695169603307088,-6.920000171661377,41,Contemporary,Sweden,Europe,North,Present study,2018
161,Lulea,65.585691,22.161351,0,0,0,-10.740000247955322,26,Contemporary,Sweden,Europe,North,Present study,2018
162,Lulea,65.605058,22.140087,0,0,0.025320565519103666,-10.740000247955322,40,Contemporary,Sweden,Europe,North,Present study,2018
111,Swiss Alps,46.202999,8.047476,0.025,0.025320565519103666,0.19377422517014498,-3.7800000429153444,40,Contemporary,Switzerland,Europe,North,Present study,2018
113,Lausanne,46.516386,6.60067,0.782608695652174,0.6388424407426925,0.6388424407426925,0.7400000005960464,23,Contemporary,Switzerland,Europe,North,Present study,2018
117,Zurich,47.218957,8.66233,0.9,0.7763932022500211,0.7763932022500211,0.5800000071525574,40,Contemporary,Switzerland,Europe,North,Present study,2018
163,Churchill,58.765895,-94.165049,0.175,0.19377422517014498,0.2583801512904337,-24.520000076293947,40,Contemporary,Canada,North America,North,Present study,2018
164,Moosonee,51.276554,-80.640277,0.48484848484848486,0.5394338135281618,0.3486610527210704,-19.32000026702881,33,Contemporary,Canada,North America,North,Present study,2018
330,Nominingue,46.3941982,-75.0285349,0.3,0.4755955759149242,0.19377422517014498,-11.94000015258789,40,Contemporary,Canada,North America,North,Present study,2018
174,Montreal,45.50285,-73.566548,0.4429223744292237,NaN,NaN,-9.940000247955322,219,Contemporary,Canada,North America,North,Santangelo et al. 2020,2016
180,Toronto,43.657004,-79.406113,0.4069767441860465,0.5055417328470361,0.40571504884053877,-4.860000085830689,1032,Contemporary,Canada,North America,North,Santangelo et al. 2020,2016
166,Atlanta,33.745312,-84.387933,0.5902777777777778,0.5496698957462396,0.4580532372028654,6.580000162124634,144,Contemporary,USA,North America,North,Santangelo et al. 2020,2016
167,Baltimore,39.292536,-76.613021,0.20444444444444446,0.4443420473270777,0.17415034675215535,0.49999997913837435,225,Contemporary,USA,North America,North,Santangelo et al. 2020,2016
168,Boston,42.357952,-71.057856,0.21875,NaN,NaN,-1.679999977350235,576,Contemporary,USA,North America,North,Santangelo et al. 2020,2016
169,Charlotte,35.228798,-80.839714,0.5263157894736842,0.49279056516229736,0.38551374222375756,5.720000219345093,247,Contemporary,USA,North America,North,Santangelo et al. 2020,2016
170,Cincinnati,39.102297,-84.510807,0.19491525423728814,NaN,NaN,-0.9600000560283661,236,Contemporary,USA,North America,North,Santangelo et al. 2020,2016
171,Cleveland,41.496299,-81.692896,0.2962962962962963,0.42851130667411574,0.21718800929302773,-3.219999998807907,297,Contemporary,USA,North America,North,Santangelo et al. 2020,2016
172,Detroit,42.330023,-83.046662,0.3,NaN,NaN,-3.6600000500679015,240,Contemporary,USA,North America,North,Santangelo et al. 2020,2016
173,Jacksonville,30.330091,-81.656734,0.948051948051948,0.9342048305040231,0.7817821097640076,13.5600004196167,231,Contemporary,USA,North America,North,Santangelo et al. 2020,2016
175,NewYork,40.717346,-74.005943,0.23300970873786409,0.37511905895907616,0.4254055950857769,-0.7400000482797623,515,Contemporary,USA,North America,North,Santangelo et al. 2020,2016
176,Norfolk,36.850358,-76.286072,0.4901185770750988,0.5448392429689969,0.3783456078600166,5.300000095367432,253,Contemporary,USA,North America,North,Santangelo et al. 2020,2016
177,Philadelphia,39.950575,-75.164953,0.1927710843373494,NaN,NaN,0.379999977350235,249,Contemporary,USA,North America,North,Santangelo et al. 2020,2016
178,Pittsburgh,40.439511,-79.995674,0.2604166666666667,NaN,NaN,-1.7799999713897705,192,Contemporary,USA,North America,North,Santangelo et al. 2020,2016
179,Tampa,27.949069,-82.456729,0.9871794871794872,NaN,NaN,17.40000057220459,156,Contemporary,USA,North America,North,Santangelo et al. 2020,2016
181,Washington D.C.,38.903988,-77.037573,0.2849002849002849,0.48434900004244597,0.21171877909150072,2.140000009536743,351,Contemporary,USA,North America,North,Santangelo et al. 2020,2016
311,"Cape Girardeau, MO",37.30902066666667,-89.56135333333333,0.24073333333333333,0.3894666666666667,0.28113333333333335,2.0200000286102293,135,Contemporary,USA,North America,North,Kooyers et al. 2012,2008–2009
312,CYP Low,49.33712333333333,-123.18993666666667,0.2583333333333333,0.41200000000000003,0.23466666666666666,3.860000157356262,44,Contemporary,USA,North America,North,Kooyers et al. 2012,2008–2009
313,"Grenada, MS",33.82602266666667,-89.84126,0.4138,0.3788,0.4676666666666667,6.000000143051148,142,Contemporary,USA,North America,North,Kooyers et al. 2012,2008–2009
314,"Jackson, MS",32.357189999999996,-90.20288,0.4710666666666667,0.5239333333333334,0.4294,8.440000247955322,146,Contemporary,USA,North America,North,Kooyers et al. 2012,2008–2009
315,"Memphis, TN",35.190318,-89.9391,0.3340666666666667,0.2945333333333333,0.45840000000000003,4.820000100135803,147,Contemporary,USA,North America,North,Kooyers et al. 2012,2008–2009
316,Mt. Baker Low,48.920625,-122.11015,0.3235,0.4505,0.253,3.2000000357627867,43,Contemporary,USA,North America,North,Kooyers et al. 2012,2008–2009
317,"New Orleans, LA",30.2235,-90.04802666666667,0.8608,0.8349333333333333,0.8224666666666667,11.660000133514405,141,Contemporary,USA,North America,North,Kooyers et al. 2012,2008–2009
318,SEY Low,49.309200000000004,-122.965335,0.2275,0.34199999999999997,0.159,3.1600000739097593,31,Contemporary,USA,North America,North,Kooyers et al. 2012,2008–2009
319,"St. Louis, MO",38.64579666666667,-90.34762333333333,0.14703333333333335,0.262,0.1685,0.6800000369548798,298,Contemporary,USA,North America,North,Kooyers et al. 2012,2008–2009
320,"Wausau, WI",44.927802,-89.64568666666666,0.11086666666666667,0.3102,0.12933333333333333,-10.320000171661377,136,Contemporary,USA,North America,North,Kooyers et al. 2012,2008–2009
326,"Fort Smith, AR",35.3923708325,-94.35569583,0.4725,0.4525,0.52,4.900000047683716,71,Contemporary,USA,North America,North,Kooyers et al. 2014,2012
327,"Little Rock, AR",34.7822041675,-92.3260249975,0.52,0.47500000000000003,0.4125,6.040000009536743,77,Contemporary,USA,North America,North,Kooyers et al. 2014,2012
328,"Memphis, TN",35.1868675,-89.9064575,0.6174999999999999,0.5125,0.605,4.820000100135803,81,Contemporary,USA,North America,North,Kooyers et al. 2014,2012
329,"Oklahoma City, OK",35.52559167,-97.4579125,0.6925,0.6625,0.57,4.860000085830689,78,Contemporary,USA,North America,North,Kooyers et al. 2014,2012
321,Christchurch,-43.511903333333336,172.63998999999998,0.618,0.5293333333333333,0.48266666666666663,7.160000038146973,45,Contemporary,New Zealand,Oceania,South,Kooyers et al. 2013,2010
322,Fairlie,-44.10201,170.81694,0.4726666666666667,0.49966666666666665,0.44466666666666665,2.8400000095367433,40,Contemporary,New Zealand,Oceania,South,Kooyers et al. 2013,2010
323,Oamaru,-45.09281,170.97512,0.297,0.441,0.31066666666666665,4.840000152587891,44,Contemporary,New Zealand,Oceania,South,Kooyers et al. 2013,2010
324,Springfield,-43.33433333333333,171.92973666666666,0.555,0.5803333333333334,0.45866666666666667,2.9600000381469727,42,Contemporary,New Zealand,Oceania,South,Kooyers et al. 2013,2010
325,Timaru,-44.390476666666665,171.24293666666665,0.4083333333333333,0.526,0.382,5.600000095367432,43,Contemporary,New Zealand,Oceania,South,Kooyers et al. 2013,2010
4,Cordoba,-31.627935,-64.70824,0.9375,0.7958758547680684,0.8556624327025936,7.420000076293945,48,Contemporary,Argentina,South America,South,Present study,2018
5,Guido Buffo crypt,-31.19221,-64.36372,0.8260869565217391,0.6388424407426925,0.7446230407723754,10.480000114440918,46,Contemporary,Argentina,South America,South,Present study,2018
6,Rio Tafi,-26.85943,-65.70818,0.8372093023255814,0.7843344535931231,0.6264563161811858,5.780000019073486,43,Contemporary,Argentina,South America,South,Present study,2018
1,El Volcan,-39.348515,-71.97026,0.7435897435897436,0.8398718461949128,0.4936303164581667,3.640000009536743,39,Contemporary,Chile,South America,South,Present study,2018
3,Santiago,-33.78529,-70.65858,0.7555555555555555,0.7891814893221081,0.5285954792089683,8.04000015258789,45,Contemporary,Chile,South America,South,Present study,2018
7,Villaricca,-39.07162,-72.44869,0.7428571428571429,0.7609542781331213,0.5527864045000421,6.44000015258789,35,Contemporary,Chile,South America,South,Present study,2018
10,Villaricca,-39.28316,-72.22197,0.9166666666666666,1,0.7113248654051871,6.44000015258789,12,Contemporary,Chile,South America,South,Present study,2018
13,Candelaria,-39.31036,-71.97913,0.8,0.683772233983162,0.5527864045000421,3.640000009536743,10,Contemporary,Chile,South America,South,Present study,2018
15,Puesco Bajo,-39.53387,-71.5561,0.7368421052631579,0.6755571577384749,0.5411685322588764,2.540000057220459,19,Contemporary,Chile,South America,South,Present study,2018
16,Rio Trancura,-39.49315,-71.54868,0.575,0.5816699867329622,0.3798263270539577,3.640000009536743,40,Contemporary,Chile,South America,South,Present study,2018
18,Palguin Bajo,-39.33632,-71.76393,0.6458333333333334,0.6772513878160487,0.5,3.640000009536743,48,Contemporary,Chile,South America,South,Present study,2018
20,Lebu,-37.60599,-73.6504,0.7083333333333334,0.6464466094067263,0.5435645354123615,8.880000114440918,48,Contemporary,Chile,South America,South,Present study,2018
21,Valparaiso,-33.052148,-71.595405,0.875,1,0.6464466094067263,9.94000015258789,48,Contemporary,Chile,South America,South,Present study,2018
23,Pucan,-39.28816,-71.97614,0.6875,0.5669872981077807,0.521286446121831,3.640000009536743,48,Contemporary,Chile,South America,South,Present study,2018
24,Talca,-35.39955,-71.62592,0.8863636363636364,0.7388835160664533,0.7867992836443896,8.120000171661378,44,Contemporary,Chile,South America,South,Present study,2018
25,Talca,-35.4026,-71.63422,0.7037037037037037,0.5285954792089683,0.6666666666666667,8.120000171661378,27,Contemporary,Chile,South America,South,Present study,2018
26,Chill�n,-36.599056,-72.134749,0.2727272727272727,0.5735985672887791,0.14719713457755823,7.920000076293945,11,Contemporary,Chile,South America,South,Present study,2018
217,Miyazaki,31.90806,131.420672,0.108843537,0.146834625,0.1876799,5.900000095367432,147,Historical,Japan,Asia,North,Daday 1958,1958
218,Kochi,33.560235,133.529258,0.424242424,0.523268705,0.314655583,2.2800000429153444,132,Historical,Japan,Asia,North,Daday 1958,1958
219,Zentsuji,34.224005,133.784564,0.137724551,0.170167032,0.218476844,4.620000123977661,167,Historical,Japan,Asia,North,Daday 1958,1958
220,Konosu,36.077334,139.506684,0.5,0.428452393,0.422649731,2.040000021457672,150,Historical,Japan,Asia,North,Daday 1958,1958
221,Shindo-Mura,35.494841,139.378636,0.314102564,0.547089186,0.215535459,3.9600001335144044,156,Historical,Japan,Asia,North,Daday 1958,1958
222,Shimo-Kuriyagawa,39.761081,141.134079,0.191489362,0.265828976,0.280465083,-5.300000095367432,141,Historical,Japan,Asia,North,Daday 1958,1958
223,Tsukissapau,42.164008,142.807193,0.152777778,0.150163414,0.231704629,-6.280000019073486,144,Historical,Japan,Asia,North,Daday 1958,1958
182,Rupprechtshofen,48.136033,15.273435,0.078,0.065120329,0.124214638,-2.9200000286102297,103,Historical,Austria,Europe,North,Daday 1954,1954
183,Brussels,50.846911,4.351106,0.432,0.467083496,0.401668988,1.9400000885128974,81,Historical,Belgium,Europe,North,Daday 1954,1954
184,Bohemia,50.078858,14.43717,0.031,0.015622024,0.015622024,-2.4200000166893005,96,Historical,Czech Republic,Europe,North,Daday 1954,1954
185,North Jutland,57.036972,9.930653,0.091,0.121364695,0.127073886,-0.6200000137090683,197,Historical,Denmark,Europe,North,Daday 1954,1954
186,Cherbourg,49.640199,-1.624342,0.857,1,0.621846592,4.240000057220459,35,Historical,France,Europe,North,Daday 1954,1954
187,Clermont-Ferrand,45.778379,3.087651,0.828,0.666833375,0.715395011,1.1,99,Historical,France,Europe,North,Daday 1954,1954
188,Finistere,48.279078,-3.906039,0.802,0.783205166,0.611412815,5.180000114440918,106,Historical,France,Europe,North,Daday 1954,1954
189,La Rochelle,46.163105,-1.150341,0.817,1,0.572215007,5.0200001239776615,60,Historical,France,Europe,North,Daday 1954,1954
190,Paris,48.851575,2.354006,0.843,1,0.603767745,3.2600000381469725,19,Historical,France,Europe,North,Daday 1954,1954
191,St-Brieuc,48.511458,-2.765637,0.928,1,0.731671843,5.060000038146972,236,Historical,France,Europe,North,Daday 1954,1954
192,Frankfurt a/M,50.115531,8.683649,0.648,0.574559052,0.514201688,-0.6600000232458114,199,Historical,Germany,Europe,North,Daday 1954,1954
193,Giesson,50.581174,8.675482,0.175,0.5,0.148530682,-0.9200000047683716,40,Historical,Germany,Europe,North,Daday 1954,1954
194,Hanover,52.382466,9.732649,0.056,0.064051283,0.153832168,-0.02000002861022949,162,Historical,Germany,Europe,North,Daday 1954,1954
195,Hohenheim,48.711037,9.211689,0.601,0.617900537,0.443223564,-0.8400000214576722,158,Historical,Germany,Europe,North,Daday 1954,1954
196,Schessel,53.168461,9.484341,0.083,0.04239883,0.18329932,0.47999999225139617,24,Historical,Germany,Europe,North,Daday 1954,1954
197,Straubing,48.877199,12.576328,0.083,0.048159677,0.098334874,-2.5200000762939454,96,Historical,Germany,Europe,North,Daday 1954,1954
198,Budapest,47.490874,19.042481,0.015,0.011566897,0.055013228,-2.1399999648332595,131,Historical,Hungary,Europe,North,Daday 1954,1954
199,Magyarovar,47.881828,17.266067,0.012,0.018164983,0.845080666,-1.5400000095367432,83,Historical,Hungary,Europe,North,Daday 1954,1954
200,Milan,45.468443,9.184505,0.018,0.017655865,0.092255543,1.2600000143051147,171,Historical,Italy,Europe,North,Daday 1954,1954
201,San Daniele del Friuli,46.157223,13.009784,0.012,0.031495999,0.070483997,-2.400000011920929,161,Historical,Italy,Europe,North,Daday 1954,1954
343,Lucca,43.842507,10.50461,0.974,1,0.838754845,3.980000066757202,76,Historical,Italy,Europe,North,Daday 1954,1954
202,Schaanwald,47.211188,9.562071,0.287,0.393369964,0.305017986,-3.8800000667572023,87,Historical,Liechtenstein,Europe,North,Daday 1954,1954
203,Breda,51.583532,4.773546,0.275,0.315894745,0.322504613,2.1200000643730164,109,Historical,Netherlands,Europe,North,Daday 1954,1954
204,Groningen,53.216728,6.566738,0,0.092806526,0.049736879,1.1000000476837157,62,Historical,Netherlands,Europe,North,Daday 1954,1954
344,Tjotta,65.822956,12.426972,0,0.030464029,0.020204103,-2.94000004529953,50,Historical,Norway,Europe,North,Daday 1954,1954
205,Koscian,52.08131,16.640308,0.03,0.020204103,0.040833695,-2.3200000807642938,100,Historical,Poland,Europe,North,Daday 1954,1954
206,La Coruna,43.360488,-8.411772,0.955,1,0.787867966,7.300000190734863,89,Historical,Spain,Europe,North,Daday 1954,1954
207,Girona,41.977685,2.820965,0.877,1,0.649286442,6.100000190734863,73,Historical,Spain,Europe,North,Daday 1954,1954
208,Granada,37.175473,-3.598169,1,1,1,5.240000152587891,112,Historical,Spain,Europe,North,Daday 1954,1954
209,Lulea,65.583233,22.15663,0,0,0,-11.600000190734864,69,Historical,Sweden,Europe,North,Daday 1954,1954
210,Stockholm,59.32789,18.068726,0.017,0.008536435,0.008536435,-2.9200000524520875,59,Historical,Sweden,Europe,North,Daday 1954,1954
211,Lausanne,46.51852,6.631984,0.706,0.623171126,0.569883737,-1.400000011920929,184,Historical,Switzerland,Europe,North,Daday 1954,1954
212,Zurich,47.372895,8.541145,0.488,0.494035574,0.3755002,-1.5799999833106995,82,Historical,Switzerland,Europe,North,Daday 1954,1954
261,"Lenoxville, QC",45.367519,-71.856386,0.714285714,0.480537518,0.800795232,-8.68000020980835,126,Historical,Canada,North America,North,Daday 1958,1958
